Semaine;Nice (FR);reta (SI);Agadir (MA);Djerba (TN);Corfu (GR);Santorini Island (GR);Faro (PT);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;56,00;0,00;14,00;7,64;14,00;43,08;15,08;0,00;15,27;56,00;5,09;0,00;21,00;0,00;0,00;14,52;0,00;20,74;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;40,00;0,00;27,00;6,25;13,75;98,95;33,68;0,00;40,00;25,00;0,00;0,00;0,00;0,00;7,00;13,33;6,15;66,67;0,00;0,00;6,67;0,00;0,00;0,00;7,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;13,00;0,00;6,00;6,50;13,00;130,00;32,50;0,00;32,50;26,00;6,50;6,00;0,00;0,00;6,00;19,50;6,50;40,08;6,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;39,00;0,00;13,00;12,58;18,87;125,67;54,17;0,00;43,88;39,00;0,00;0,00;13,00;0,00;0,00;19,50;6,16;45,16;19,50;0,00;0,00;0,00;6,00;0,00;0,00;0,00;6,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;28,00;0,00;7,00;14,00;21,64;49,54;36,62;16,80;28,00;67,20;16,80;0,00;21,00;0,00;0,00;0,00;0,00;28,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;7,00;0,00;28,00;0,00;15,40;135,33;37,33;7,00;35,00;63,00;7,00;14,00;21,00;0,00;0,00;20,00;0,00;40,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;14,00;0,00;14,00;0,00;34,36;138,00;46,00;0,00;18,67;18,67;14,00;7,00;21,00;7,00;0,00;14,00;7,54;21,54;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;47,00;0,00;14,00;13,61;19,79;115,36;40,59;5,22;5,22;26,11;5,22;0,00;20,00;0,00;7,00;47,00;0,00;53,13;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;14,00;0,00;49,00;7,64;49,64;66,00;20,00;0,00;51,33;37,33;0,00;0,00;0,00;0,00;7,00;14,00;7,00;41,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00
2019-03-10;28,00;0,00;14,00;0,00;34,09;116,31;43,08;18,67;37,33;60,67;4,67;14,00;0,00;0,00;0,00;34,00;21,00;55,00;0,00;7,00;7,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;14,00;0,00;14,00;21,64;14,00;126,00;86,00;0,00;32,67;84,00;18,67;7,00;28,00;7,00;7,00;27,00;0,00;20,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00
2019-03-24;35,00;0,00;7,00;0,00;13,75;170,88;20,59;0,00;40,00;90,00;0,00;0,00;7,00;7,00;0,00;7,21;14,41;35,00;14,41;7,00;14,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00
2019-03-31;33,00;0,00;40,00;6,35;26,65;109,31;6,19;5,50;49,50;49,50;5,50;0,00;0,00;7,00;7,00;46,41;0,00;19,59;0,00;0,00;0,00;6,60;20,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;46,00;0,00;13,00;13,68;13,68;131,73;52,27;0,00;51,11;40,89;5,11;26,00;26,00;7,00;13,00;32,71;38,84;59,29;6,13;0,00;6,57;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;77,00;0,00;28,00;7,57;49,23;156,14;77,00;5,13;71,87;71,87;15,40;0,00;7,00;14,00;0,00;20,53;20,53;34,91;7,19;0,00;6,70;6,70;0,00;0,00;0,00;0,00;14,00;0,00;7,00;0,00;7,00;0,00;0,00;0,00;0,00
2019-04-21;60,00;0,00;13,00;0,00;52,50;154,29;53,57;5,00;65,00;60,00;0,00;20,00;7,00;0,00;0,00;60,00;0,00;40,34;0,00;0,00;6,67;0,00;0,00;7,00;0,00;7,00;0,00;7,00;20,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;68,00;0,00;41,00;0,00;34,00;176,38;27,63;15,69;36,62;57,54;0,00;7,00;0,00;7,00;0,00;20,61;0,00;26,79;13,39;0,00;0,00;0,00;7,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00
2019-05-05;45,00;0,00;26,00;18,75;32,50;117,86;38,57;0,00;30,00;40,00;5,00;19,00;6,00;0,00;0,00;25,57;12,27;51,14;6,14;0,00;0,00;6,92;6,00;13,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;54,00;0,00;13,00;13,81;54,00;151,20;54,00;5,40;48,60;54,00;5,40;7,00;13,00;20,00;7,00;13,50;13,50;13,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;72,00;0,00;7,00;6,32;39,16;190,59;59,29;20,57;87,43;46,29;15,43;13,00;0,00;0,00;7,00;32,91;32,91;39,09;6,17;0,00;13,71;6,86;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;39,00;0,00;19,00;0,00;18,87;140,83;39,00;4,88;68,25;48,75;14,63;0,00;19,00;13,00;6,00;31,82;13,34;31,82;19,50;0,00;14,18;0,00;6,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-02;39,00;0,00;19,00;6,29;57,87;197,17;58,50;0,00;53,63;73,13;0,00;0,00;13,00;19,00;0,00;31,82;19,50;76,97;0,00;0,00;7,09;0,00;6,00;0,00;0,00;0,00;13,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-09;84,00;0,00;6,00;12,54;51,40;180,60;25,20;5,25;84,00;84,00;21,00;6,00;32,00;26,00;0,00;57,37;12,29;57,37;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;6,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-16;54,00;0,00;7,00;13,81;40,19;193,15;20,77;0,00;83,45;54,00;4,91;27,00;7,00;7,00;0,00;33,62;33,62;86,60;7,13;0,00;6,75;0,00;7,00;0,00;0,00;0,00;0,00;0,00;20,00;0,00;7,00;7,00;0,00;0,00;0,00
2019-06-23;48,00;0,00;27,00;6,32;48,00;169,04;75,13;16,00;80,00;106,67;5,33;0,00;14,00;7,00;0,00;27,57;27,57;54,13;13,28;0,00;0,00;6,86;14,00;7,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-30;55,00;0,00;21,00;0,00;47,50;122,69;67,69;5,00;105,00;120,00;15,00;20,00;14,00;14,00;0,00;20,75;0,00;89,25;20,75;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-07;86,00;0,00;40,00;20,24;126,47;169,90;33,56;0,00;86,00;96,12;15,18;0,00;26,00;7,00;7,00;46,07;0,00;38,90;6,14;0,00;0,00;0,00;13,00;0,00;7,00;7,00;7,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-14;76,00;0,00;14,00;0,00;83,60;171,00;61,22;0,00;111,47;101,33;5,07;21,00;21,00;21,00;0,00;20,54;41,08;102,70;7,19;0,00;20,73;0,00;14,00;0,00;7,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;7,00;0,00;0,00
2019-07-21;56,00;0,00;14,00;7,64;105,64;163,69;127,08;20,36;40,73;96,73;0,00;7,00;21,00;28,00;7,00;35,26;13,48;48,74;0,00;0,00;14,00;0,00;7,00;0,00;0,00;0,00;21,00;0,00;14,00;7,00;0,00;0,00;0,00;0,00;0,00
2019-07-28;93,00;0,00;7,00;13,82;35,19;200,80;93,00;15,50;149,83;211,83;15,50;14,00;36,00;36,00;7,00;28,93;36,17;85,77;21,70;0,00;0,00;0,00;14,00;0,00;0,00;7,00;7,00;7,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-04;100,00;0,00;29,00;0,00;107,59;136,17;63,83;5,00;70,00;175,00;35,00;36,00;21,00;7,00;7,00;56,70;49,48;42,27;28,87;0,00;13,79;6,90;21,00;0,00;7,00;0,00;7,00;7,00;14,00;0,00;0,00;0,00;0,00;7,00;0,00
2019-08-11;64,00;0,00;7,00;7,53;79,06;209,07;78,93;14,77;49,23;221,54;4,92;29,00;21,00;7,00;7,00;7,11;42,67;84,32;0,00;0,00;20,21;13,47;14,00;7,00;0,00;0,00;7,00;0,00;21,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-18;91,00;0,00;21,00;13,90;41,71;146,02;91,00;15,17;111,22;505,56;15,17;14,00;35,00;0,00;0,00;48,60;7,24;48,60;7,24;0,00;0,00;0,00;14,00;0,00;0,00;0,00;7,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-25;40,00;0,00;20,00;0,00;46,25;157,89;58,95;0,00;45,00;230,00;0,00;20,00;13,00;7,00;0,00;40,00;6,15;72,82;0,00;0,00;20,00;0,00;7,00;0,00;0,00;0,00;13,00;0,00;7,00;7,00;0,00;0,00;7,00;0,00;0,00
2019-09-01;50,00;0,00;13,00;6,25;50,00;154,17;43,75;0,00;25,00;85,00;10,00;25,00;19,00;6,00;0,00;12,24;24,49;12,24;18,37;0,00;6,67;6,67;0,00;0,00;0,00;0,00;6,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-08;43,00;0,00;25,00;12,65;31,62;113,95;36,55;10,75;26,88;64,50;0,00;18,00;6,00;6,00;12,00;24,57;18,43;43,00;6,14;0,00;0,00;0,00;6,00;0,00;0,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-15;68,00;0,00;25,00;6,30;36,52;61,63;48,88;5,23;26,15;62,77;0,00;6,00;12,00;18,00;0,00;18,55;0,00;43,27;12,36;0,00;0,00;6,80;0,00;0,00;12,00;0,00;6,00;6,00;12,00;6,00;0,00;0,00;0,00;0,00;0,00
2019-09-22;62,00;0,00;31,00;12,65;44,29;113,31;12,83;0,00;10,33;56,83;5,17;6,00;12,00;0,00;0,00;18,60;6,20;12,40;12,40;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-29;32,00;0,00;6,00;38,40;44,80;44,80;19,20;10,67;26,67;133,33;0,00;0,00;6,00;13,00;0,00;6,19;24,77;12,39;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-06;75,00;0,00;31,00;6,25;18,75;56,25;43,75;5,00;10,00;50,00;0,00;6,00;31,00;6,00;6,00;12,33;0,00;30,82;0,00;0,00;6,82;0,00;0,00;0,00;0,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-13;49,00;0,00;18,00;0,00;17,59;36,22;29,83;0,00;19,60;39,20;0,00;6,00;6,00;12,00;0,00;6,26;25,02;25,02;6,26;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-20;60,00;0,00;12,00;6,25;12,50;82,76;18,62;5,00;5,00;85,00;0,00;6,00;6,00;0,00;0,00;12,20;29,49;18,31;6,10;6,67;0,00;0,00;6,00;0,00;0,00;0,00;6,00;6,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-27;31,00;0,00;19,00;0,00;6,20;18,60;47,53;5,17;5,17;82,67;10,33;6,00;12,00;0,00;6,00;12,40;0,00;55,80;0,00;0,00;6,89;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-03;18,00;0,00;18,00;12,86;24,43;58,00;34,00;0,00;9,00;40,50;9,00;6,00;12,00;12,00;0,00;23,00;6,00;12,00;6,00;0,00;7,20;0,00;0,00;0,00;0,00;0,00;0,00;6,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-10;18,00;0,00;6,00;0,00;24,43;28,00;18,00;0,00;9,00;27,00;0,00;0,00;0,00;6,00;0,00;6,00;6,00;23,00;0,00;0,00;14,40;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-17;36,00;0,00;18,00;6,43;24,43;29,65;16,94;0,00;10,29;46,29;0,00;0,00;6,00;0,00;0,00;6,17;0,00;17,49;0,00;0,00;39,60;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-24;35,00;0,00;12,00;0,00;23,75;57,65;39,12;5,00;10,00;50,00;0,00;12,00;0,00;6,00;0,00;6,18;11,32;28,82;0,00;0,00;31,50;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-01;25,00;0,00;12,00;0,00;6,25;66,67;41,67;0,00;10,00;55,00;5,00;0,00;19,00;6,00;0,00;12,50;12,50;12,50;0,00;0,00;167,86;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-08;51,00;0,00;13,00;6,22;6,22;44,63;19,13;0,00;5,10;35,70;0,00;0,00;6,00;0,00;0,00;6,12;6,12;12,24;0,00;0,00;115,60;0,00;0,00;6,00;0,00;0,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-15;24,00;0,00;6,00;0,00;0,00;24,00;24,00;0,00;19,20;52,80;0,00;0,00;18,00;0,00;0,00;29,00;0,00;6,00;6,00;0,00;68,57;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00
2019-12-22;26,00;0,00;7,00;0,00;6,19;80,17;19,50;0,00;15,60;0,00;20,80;7,00;7,00;7,00;0,00;19,00;0,00;0,00;6,00;6,50;152,75;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-29;53,00;0,00;0,00;0,00;20,19;72,08;25,44;0,00;21,20;79,50;0,00;20,00;7,00;0,00;0,00;19,75;0,00;6,24;6,24;0,00;102,47;0,00;7,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-05;31,00;0,00;31,00;12,92;56,83;57,57;26,57;0,00;25,83;82,67;20,67;6,00;6,00;0,00;0,00;24,80;6,20;31,00;0,00;0,00;31,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-12;73,00;0,00;23,00;11,33;27,69;66,74;33,37;0,00;36,50;46,93;0,00;6,00;6,00;0,00;0,00;16,45;11,31;27,76;0,00;0,00;6,95;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-19;22,00;0,00;28,00;4,89;15,89;58,00;48,00;0,00;22,00;82,50;5,50;6,00;6,00;11,00;0,00;11,00;0,00;38,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-26;47,00;0,00;18,00;6,35;24,14;123,91;36,32;0,00;10,44;36,56;5,22;12,00;6,00;6,00;0,00;11,49;6,27;35,51;0,00;0,00;6,71;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-02;41,00;0,00;23,00;0,00;6,41;125,16;17,26;0,00;25,63;56,38;25,63;17,00;0,00;0,00;6,00;11,28;6,15;17,43;11,28;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-09;70,00;0,00;17,00;17,50;35,00;53,03;23,33;5,00;30,00;35,00;0,00;6,00;6,00;0,00;6,00;23,68;6,18;81,32;6,18;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-16;23,00;0,00;6,00;0,00;29,39;73,18;39,73;5,75;5,75;46,00;0,00;6,00;11,00;6,00;0,00;0,00;0,00;34,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-23;23,00;0,00;34,00;5,11;16,61;50,18;56,45;0,00;28,75;17,25;5,75;11,00;6,00;0,00;0,00;16,73;0,00;11,50;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-01;0,00;0,00;17,00;18,00;4,00;47,00;24,00;0,00;2,00;14,00;0,00;0,00;0,00;6,00;6,00;16,00;5,00;16,00;0,00;0,00;0,00;0,00;0,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-08;28,00;0,00;17,00;11,45;16,55;10,77;28,00;0,00;0,00;33,60;5,60;11,00;17,00;6,00;0,00;0,00;0,00;11,41;0,00;0,00;10,50;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-15;32,00;0,00;11,00;5,12;0,00;27,73;6,40;5,33;10,67;10,67;10,67;11,00;5,00;5,00;0,00;5,16;10,32;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-22;5,00;0,00;0,00;0,00;15,00;25,00;5,00;0,00;5,00;0,00;5,00;10,00;5,00;0,00;0,00;5,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-29;15,00;0,00;0,00;0,00;10,00;25,71;0,00;0,00;15,00;10,00;0,00;5,00;5,00;0,00;0,00;5,00;5,00;5,00;0,00;0,00;0,00;3,75;0,00;0,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-05;5,00;0,00;5,00;0,00;0,00;8,33;0,00;0,00;10,00;20,00;5,00;0,00;11,00;5,00;0,00;16,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-12;5,00;0,00;21,00;0,00;10,00;47,50;5,00;0,00;15,00;10,00;15,00;0,00;20,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-19;10,00;0,00;0,00;0,00;10,00;42,00;4,00;0,00;10,00;20,00;5,00;10,00;0,00;5,00;0,00;10,00;5,00;5,00;0,00;0,00;3,33;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-26;15,00;0,00;10,00;0,00;10,00;32,14;0,00;0,00;10,00;0,00;0,00;5,00;15,00;0,00;0,00;5,00;0,00;5,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-03;0,00;0,00;0,00;0,00;0,00;17,00;2,00;0,00;1,00;0,00;0,00;5,00;10,00;10,00;0,00;5,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00
2020-05-10;0,00;0,00;0,00;0,00;4,00;7,00;5,00;0,00;1,00;1,00;0,00;10,00;5,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;1,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-17;5,00;0,00;0,00;5,00;5,00;30,00;13,33;0,00;15,00;5,00;5,00;0,00;5,00;0,00;0,00;5,00;5,00;10,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-24;16,00;0,00;0,00;0,00;4,92;60,00;6,00;0,00;21,33;16,00;0,00;11,00;0,00;5,00;0,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-31;5,00;0,00;5,00;0,00;15,00;60,00;12,50;5,00;10,00;25,00;0,00;5,00;0,00;0,00;0,00;5,00;10,00;5,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-06-07;5,00;0,00;10,00;0,00;21,25;42,50;17,50;0,00;20,00;35,00;0,00;0,00;0,00;0,00;0,00;20,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
