Semaine;Nice (FR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;33,00;111,00;9,00;0,00;3,00;78,38;4,13;12,38;61,88;69,30;6,60;6,60;9,90;5,21;38,21;5,21;0,00;8,00;5,00;0,00;0,00;8,00;8,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;35,00;85,91;9,55;0,00;3,18;97,22;11,67;7,78;89,44;108,50;3,50;3,50;7,00;0,00;66,50;5,25;1,75;0,00;7,00;0,00;5,00;10,00;7,00;0,00;2,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;33,00;96,00;9,00;0,00;3,00;90,75;16,50;12,38;66,00;102,30;0,00;3,30;6,60;0,00;53,84;1,74;0,00;0,00;2,00;0,00;2,00;9,00;7,00;0,00;0,00;0,00;2,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;24,00;109,71;3,43;0,00;10,29;48,00;12,00;12,00;64,00;130,29;3,43;3,43;3,43;0,00;59,08;1,85;0,00;0,00;9,00;2,00;7,00;12,00;7,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;10,00;106,67;16,67;0,00;6,67;85,00;20,00;25,00;75,00;86,67;0,00;10,00;3,33;1,67;21,67;1,67;1,67;2,00;15,00;0,00;2,00;12,00;2,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;25,00;115,63;6,25;0,00;3,13;79,17;8,33;12,50;50,00;100,00;7,14;14,29;3,57;7,14;32,14;1,79;0,00;0,00;10,00;0,00;5,00;10,00;2,00;0,00;3,00;0,00;0,00;12,00;0,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;28,00;124,44;0,00;0,00;0,00;64,00;16,00;8,00;96,00;147,00;7,00;17,50;7,00;5,25;68,25;7,00;0,00;3,00;8,00;0,00;3,00;20,00;5,00;0,00;0,00;0,00;3,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;17,00;104,83;5,67;0,00;5,67;119,00;17,00;8,50;93,50;108,80;3,40;13,60;3,40;1,70;39,10;1,70;1,70;0,00;5,00;3,00;7,00;7,00;10,00;0,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;24,00;133,71;34,29;0,00;3,43;72,00;12,00;32,00;80,00;123,43;6,86;27,43;13,71;5,54;51,69;5,54;0,00;5,00;5,00;8,00;13,00;21,00;8,00;0,00;3,00;0,00;0,00;8,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;25,00;128,13;15,63;0,00;0,00;87,50;4,17;25,00;108,33;100,00;10,71;7,14;7,14;1,79;69,64;0,00;0,00;3,00;5,00;10,00;3,00;18,00;3,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;23,00;147,86;23,00;0,00;6,57;80,50;7,67;15,33;76,67;111,71;3,29;16,43;0,00;5,31;53,08;1,77;1,77;3,00;8,00;0,00;3,00;16,00;5,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;13,00;162,50;22,75;0,00;6,50;121,33;21,67;60,67;86,67;110,50;9,75;9,75;9,75;1,86;92,86;11,14;1,86;0,00;18,00;3,00;10,00;23,00;10,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;48,00;131,20;6,40;0,00;6,40;112,00;32,00;24,00;96,00;123,43;20,57;3,43;13,71;0,00;71,11;10,67;0,00;3,00;5,00;0,00;8,00;13,00;20,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;42,00;151,85;19,38;0,00;3,23;113,40;25,20;33,60;105,00;143,50;7,00;10,50;3,50;17,50;57,75;0,00;0,00;2,00;0,00;5,00;5,00;24,00;15,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;69,00;131,73;21,95;0,00;3,14;138,00;24,35;20,29;97,41;124,20;6,90;6,90;0,00;15,92;72,54;7,08;1,77;3,00;5,00;0,00;26,00;10,00;13,00;0,00;3,00;0,00;3,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;81,00;115,27;18,69;0,00;6,23;117,45;16,20;28,35;105,30;135,00;3,38;10,13;10,13;3,52;70,43;0,00;3,52;0,00;11,00;3,00;21,00;40,00;29,00;0,00;0,00;0,00;0,00;11,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;53,00;159,00;0,00;0,00;3,12;138,62;12,23;28,54;106,00;149,06;3,31;3,31;6,63;10,60;67,13;0,00;0,00;3,00;5,00;8,00;3,00;35,00;13,00;0,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;43,00;153,57;6,14;0,00;0,00;136,82;15,64;19,55;101,64;165,38;3,31;13,23;19,85;7,17;80,63;0,00;1,79;0,00;2,00;0,00;14,00;19,00;10,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;43,00;150,50;24,57;0,00;3,07;132,91;15,64;11,73;109,45;132,31;3,31;6,62;13,23;5,38;46,58;0,00;0,00;0,00;12,00;2,00;2,00;7,00;19,00;2,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;57,00;167,83;6,33;0,00;0,00;114,00;20,36;32,57;89,57;181,06;6,71;13,41;3,35;7,13;62,34;1,78;5,34;0,00;5,00;2,00;12,00;33,00;12,00;0,00;2,00;0,00;0,00;19,00;0,00;0,00;5,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;49,00;156,80;6,53;0,00;3,27;142,92;28,58;20,42;106,17;164,50;7,00;14,00;14,00;7,00;66,50;1,75;1,75;5,00;2,00;0,00;7,00;16,00;12,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-02;63,00;198,45;9,45;0,00;6,30;226,80;25,20;29,40;163,80;169,11;3,32;3,32;0,00;7,00;122,50;5,25;0,00;0,00;10,00;3,00;23,00;28,00;15,00;0,00;3,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-09;62,00;192,20;3,10;0,00;6,20;194,27;28,93;24,80;165,33;192,89;10,33;13,78;13,78;10,63;79,71;1,77;1,77;8,00;23,00;3,00;15,00;43,00;15,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-16;60,00;243,16;15,79;0,00;12,63;188,00;28,00;8,00;176,00;256,67;3,33;13,33;13,33;1,76;155,29;1,76;0,00;0,00;10,00;3,00;10,00;18,00;20,00;0,00;0,00;0,00;0,00;27,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-23;60,00;221,05;12,63;0,00;6,32;232,00;24,00;20,00;144,00;206,67;3,33;3,33;6,67;7,06;128,82;1,76;0,00;0,00;13,00;5,00;20,00;35,00;25,00;0,00;0,00;3,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-06-30;92,00;253,79;6,34;0,00;3,17;196,00;32,00;28,00;180,00;252,15;6,81;10,22;6,81;23,00;123,85;1,77;5,31;0,00;5,00;3,00;28,00;31,00;18,00;0,00;0,00;0,00;3,00;15,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-07;54,00;254,12;15,88;0,00;9,53;253,38;37,38;20,77;216,00;286,88;10,13;3,38;3,38;12,19;127,16;0,00;1,74;2,00;12,00;2,00;17,00;32,00;17,00;2,00;0,00;0,00;7,00;29,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-14;73,00;244,39;9,52;0,00;6,35;243,33;32,44;52,72;210,89;232,27;9,95;3,32;6,64;10,43;119,93;12,17;1,74;3,00;10,00;3,00;18,00;46,00;38,00;0,00;0,00;0,00;0,00;23,00;0,00;0,00;0,00;3,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-21;85,00;267,59;12,59;0,00;15,74;275,24;44,52;52,62;190,24;282,20;13,60;13,60;13,60;31,88;171,77;1,77;5,31;0,00;18,00;16,00;23,00;41,00;21,00;0,00;0,00;0,00;0,00;23,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-28;52,00;269,75;29,25;0,00;9,75;252,00;52,00;60,00;216,00;346,67;17,33;6,93;10,40;7,17;152,41;1,79;7,17;0,00;10,00;3,00;23,00;47,00;28,00;0,00;3,00;0,00;0,00;23,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-04;100,00;312,50;21,88;0,00;3,13;216,00;32,00;44,00;216,00;253,33;6,67;10,00;20,00;10,53;175,44;10,53;0,00;22,00;8,00;0,00;38,00;40,00;8,00;0,00;0,00;0,00;5,00;38,00;3,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-11;90,00;251,38;15,52;0,00;12,41;257,73;24,55;53,18;184,09;200,00;13,33;6,67;10,00;8,82;116,47;5,29;3,53;6,00;11,00;8,00;25,00;28,00;37,00;0,00;3,00;0,00;0,00;42,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-18;92,00;234,76;9,52;0,00;9,52;208,00;36,00;24,00;144,00;194,22;6,81;13,63;10,22;12,38;127,38;21,23;0,00;11,00;5,00;11,00;24,00;26,00;34,00;0,00;0,00;0,00;3,00;8,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-25;73,00;155,52;15,87;0,00;6,35;154,11;24,33;12,17;113,56;152,95;20,86;3,48;3,48;14,24;83,68;5,34;0,00;0,00;12,00;7,00;22,00;27,00;29,00;0,00;0,00;0,00;0,00;14,00;0,00;2,00;2,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-09-01;58,00;119,22;3,22;0,00;3,22;120,14;29,00;16,57;74,57;102,35;3,41;13,65;3,41;7,03;63,27;1,76;1,76;0,00;2,00;2,00;11,00;9,00;9,00;2,00;0,00;0,00;2,00;7,00;0,00;0,00;0,00;0,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-09-08;45,00;106,07;6,43;0,00;3,21;98,18;12,27;20,45;40,91;90,00;10,38;3,46;10,38;1,80;55,80;5,40;1,80;5,00;2,00;7,00;23,00;12,00;14,00;0,00;0,00;0,00;0,00;7,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-15;51,00;73,31;0,00;0,00;6,38;114,75;8,50;8,50;34,00;54,40;3,40;6,80;6,80;12,31;31,66;1,76;0,00;2,00;2,00;0,00;7,00;16,00;9,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-22;43,00;46,07;12,29;0,00;15,36;74,27;11,73;11,73;39,09;69,46;3,31;3,31;9,92;5,16;15,48;0,00;0,00;5,00;2,00;7,00;9,00;16,00;11,00;0,00;0,00;2,00;0,00;0,00;2,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-29;69,00;78,41;3,14;0,00;3,14;69,00;8,12;0,00;44,65;69,00;3,45;10,35;3,45;5,31;24,77;1,77;0,00;9,00;2,00;0,00;11,00;11,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-06;50,00;59,38;3,13;0,00;3,13;29,17;8,33;4,17;16,67;66,67;10,00;6,67;10,00;5,36;14,29;0,00;0,00;2,00;9,00;0,00;7,00;12,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00
2019-10-13;37,00;58,58;3,08;0,00;6,17;24,67;8,22;8,22;20,56;40,36;0,00;6,73;6,73;1,76;22,90;0,00;0,00;0,00;0,00;0,00;9,00;16,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-20;27,00;36,00;3,00;0,00;9,00;42,43;0,00;3,86;30,86;57,38;3,38;3,38;3,38;0,00;16,20;5,40;1,80;0,00;7,00;0,00;9,00;4,00;7,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-27;61,00;22,47;0,00;0,00;12,84;16,27;4,07;4,07;16,27;23,72;3,39;3,39;0,00;0,00;8,71;0,00;0,00;0,00;7,00;2,00;18,00;2,00;7,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-03;36,00;42,55;3,27;0,00;3,27;20,00;4,00;0,00;20,00;29,45;6,55;3,27;6,55;5,40;18,00;1,80;5,40;2,00;4,00;2,00;11,00;9,00;11,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-10;47,00;28,20;6,27;0,00;9,40;15,67;7,83;3,92;31,33;23,50;3,36;3,36;10,07;0,00;6,96;1,74;1,74;2,00;5,00;0,00;2,00;4,00;7,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-17;45,00;45,00;3,21;3,21;12,86;20,45;12,27;4,09;12,27;31,15;3,46;6,92;3,46;1,80;19,80;0,00;0,00;2,00;4,00;0,00;7,00;4,00;11,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-24;27,00;27,00;3,00;0,00;12,00;34,71;7,71;7,71;11,57;37,13;0,00;6,75;13,50;0,00;10,80;1,80;5,40;2,00;0,00;2,00;9,00;7,00;20,00;0,00;0,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-01;33,00;62,70;6,60;0,00;3,30;24,75;12,38;16,50;24,75;19,80;0,00;3,30;3,30;0,00;12,16;5,21;0,00;0,00;2,00;2,00;9,00;9,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;2,00;0,00;0,00
2019-12-08;33,00;69,30;3,30;0,00;6,60;20,63;8,25;0,00;8,25;26,40;3,30;3,30;3,30;0,00;15,63;0,00;1,74;2,00;2,00;2,00;5,00;9,00;5,00;0,00;2,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-15;45,00;41,79;6,43;0,00;6,43;36,82;4,09;4,09;24,55;34,62;3,46;0,00;3,46;0,00;14,40;1,80;1,80;0,00;7,00;2,00;9,00;2,00;7,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-22;88,00;59,71;6,29;0,00;15,71;40,00;8,00;12,00;20,00;30,46;3,38;3,38;13,54;0,00;14,08;5,28;0,00;3,00;5,00;0,00;13,00;3,00;11,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-29;74,00;64,35;3,22;0,00;6,43;53,44;24,67;4,11;45,22;43,73;3,36;6,73;3,36;1,76;17,62;1,76;0,00;0,00;10,00;0,00;5,00;3,00;10,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-05;65,00;102,14;3,10;0,00;12,38;69,06;24,38;4,06;36,56;65,00;3,42;10,26;10,26;0,00;38,65;0,00;1,76;2,00;2,00;0,00;2,00;5,00;5,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00
2020-01-12;45,00;102,86;9,64;0,00;9,64;73,64;8,18;20,45;73,64;100,38;10,38;6,92;10,38;0,00;43,20;0,00;0,00;2,00;4,00;2,00;2,00;17,00;4,00;0,00;2,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-19;44,00;106,86;3,14;0,00;3,14;88,00;16,00;12,00;76,00;94,77;3,38;6,77;13,54;5,28;42,24;1,76;1,76;0,00;4,00;4,00;2,00;18,00;2,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-26;41,00;135,62;3,15;0,00;3,15;57,40;12,30;8,20;77,90;78,58;3,42;3,42;20,50;0,00;37,43;0,00;0,00;0,00;2,00;2,00;4,00;15,00;13,00;0,00;2,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-02;55,00;87,35;9,71;0,00;9,71;74,64;7,86;11,79;55,00;79,06;6,88;10,31;6,88;1,77;44,35;1,77;0,00;2,00;6,00;0,00;8,00;6,00;6,00;0,00;0,00;0,00;2,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-09;42,00;71,08;6,46;0,00;3,23;92,40;16,80;12,60;58,80;84,00;7,00;3,50;7,00;10,50;54,25;7,00;0,00;0,00;4,00;4,00;9,00;15,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-16;50,00;65,63;3,13;0,00;9,38;83,33;12,50;16,67;58,33;93,33;3,33;3,33;6,67;3,45;55,17;1,72;0,00;2,00;2,00;2,00;7,00;7,00;9,00;0,00;2,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-23;37,00;52,42;3,08;0,00;3,08;53,44;12,33;8,22;32,89;43,73;3,36;3,36;6,73;0,00;28,19;3,52;0,00;0,00;4,00;4,00;2,00;8,00;17,00;0,00;0,00;0,00;0,00;4,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-01;20,00;50,00;3,33;0,00;0,00;40,00;4,00;4,00;36,00;53,33;3,33;0,00;10,00;1,67;31,67;0,00;0,00;0,00;2,00;2,00;2,00;8,00;6,00;0,00;0,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-08;40,00;18,46;3,08;0,00;0,00;24,00;8,00;0,00;12,00;20,00;0,00;0,00;0,00;0,00;17,39;0,00;0,00;0,00;2,00;4,00;0,00;6,00;2,00;0,00;2,00;0,00;0,00;2,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-15;40,00;21,54;3,08;0,00;9,23;20,00;8,00;0,00;4,00;13,33;0,00;0,00;3,33;0,00;20,00;0,00;3,64;2,00;4,00;0,00;2,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-22;7,00;17,50;7,00;0,00;3,50;17,50;3,50;7,00;10,50;31,50;0,00;0,00;3,50;0,00;14,00;0,00;1,75;2,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-29;6,00;12,00;3,00;0,00;0,00;18,00;12,00;6,00;30,00;15,00;3,00;0,00;0,00;0,00;16,00;2,00;0,00;0,00;0,00;0,00;0,00;2,00;4,00;0,00;0,00;2,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-05;4,00;20,00;4,00;0,00;4,00;12,00;4,00;2,00;16,00;20,00;8,00;4,00;0,00;0,00;10,00;2,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-12;8,00;8,00;8,00;0,00;0,00;16,00;0,00;0,00;12,00;16,00;0,00;4,00;4,00;0,00;9,60;0,00;0,00;0,00;4,00;0,00;2,00;4,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-19;8,00;16,00;4,00;0,00;4,00;24,00;2,00;4,00;8,00;36,00;4,00;4,00;4,00;0,00;4,00;2,00;2,00;6,00;4,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-26;12,00;27,00;3,00;0,00;0,00;12,00;4,00;0,00;16,00;36,00;0,00;0,00;0,00;0,00;3,43;1,71;0,00;0,00;2,00;2,00;2,00;4,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-03;10,00;10,00;0,00;0,00;3,33;30,00;10,00;0,00;25,00;20,00;0,00;3,33;3,33;0,00;10,00;3,33;1,67;4,00;2,00;0,00;0,00;12,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-10;10,00;23,33;6,67;0,00;6,67;40,00;2,50;5,00;15,00;30,00;3,33;0,00;0,00;1,67;6,67;0,00;0,00;4,00;2,00;0,00;0,00;2,00;6,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-17;8,00;10,67;0,00;0,00;2,67;36,00;4,00;4,00;8,00;32,00;0,00;0,00;0,00;0,00;19,20;1,60;0,00;2,00;4,00;2,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-24;17,00;34,00;10,20;0,00;3,40;25,50;4,25;0,00;21,25;23,80;3,40;0,00;3,40;1,89;15,11;3,78;0,00;2,00;8,00;0,00;2,00;6,00;4,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-31;12,00;27,00;3,00;0,00;0,00;32,00;0,00;8,00;24,00;21,00;0,00;3,00;0,00;0,00;10,29;3,43;0,00;2,00;4,00;0,00;4,00;14,00;2,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-06-07;31,00;52,70;3,10;0,00;3,10;38,75;3,88;3,88;23,25;48,22;0,00;3,44;0,00;1,82;23,71;1,82;1,82;0,00;2,00;2,00;4,00;8,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
